@relation TrainMatrixB
@attribute attr1 {0,1}
@attribute attr2 {0,1}
@attribute attr3 {0,1}
@attribute attr4 {0,1}
@attribute attr5 {0,1}
@attribute attr6 {0,1}
@attribute attr7 {0,1}
@attribute attr8 {0,1}
@attribute attr9 {0,1}
@attribute attr10 {0,1}
@attribute attr11 {0,1}
@attribute attr12 {0,1}
@attribute attr13 {0,1}
@attribute attr14 {0,1}
@attribute attr15 {0,1}
@attribute attr16 {0,1}
@attribute attr17 {0,1}
@attribute attr18 {0,1}
@attribute attr19 {0,1}
@attribute attr20 {0,1}
@attribute attr21 {0,1}
@attribute attr22 {0,1}
@attribute attr23 {0,1}
@attribute attr24 {0,1}
@attribute attr25 {0,1}
@attribute attr26 {0,1}
@attribute attr27 {0,1}
@attribute attr28 {0,1}
@attribute attr29 {0,1}
@attribute attr30 {0,1}
@attribute attr31 {0,1}
@attribute attr32 {0,1}
@attribute attr33 {0,1}
@attribute attr34 {0,1}
@attribute attr35 {0,1}
@attribute attr36 {0,1}
@attribute attr37 {0,1}
@attribute attr38 {0,1}
@attribute attr39 {0,1}
@attribute attr40 {0,1}
@attribute attr41 {0,1}
@attribute attr42 {0,1}
@attribute attr43 {0,1}
@attribute attr44 {0,1}
@attribute attr45 {0,1}
@attribute attr46 {0,1}
@attribute attr47 {0,1}
@attribute attr48 {0,1}
@attribute attr49 {0,1}
@attribute attr50 {0,1}
@attribute attr51 {0,1}
@attribute attr52 {0,1}
@attribute attr53 {0,1}
@attribute attr54 {0,1}
@attribute attr55 {0,1}
@attribute attr56 {0,1}
@attribute attr57 {0,1}
@attribute attr58 {0,1}
@attribute attr59 {0,1}
@attribute attr60 {0,1}
@attribute attr61 {0,1}
@attribute attr62 {0,1}
@attribute attr63 {0,1}
@attribute attr64 {0,1}
@attribute attr65 {0,1}
@attribute attr66 {0,1}
@attribute attr67 {0,1}
@attribute attr68 {0,1}
@attribute attr69 {0,1}
@attribute class {0,1}
@data
4,3,0,1,1,3,3,0,5,4,0,0,0,0,5,3,3,0,3,0,0,0,4,4,0,3,0,0,0,4,0,3,0,5,4,3,0,4,4,0,3,3,5,4,4,3,5,4,3,4,3,4,1,4,4,0,5,4,0,0,3,3,3,4,3,3,3,0,0,0
5,0,2,3,0,0,0,0,1,0,2,0,2,0,0,1,1,0,1,0,0,0,5,5,0,0,0,2,0,5,0,0,0,1,5,0,2,5,5,0,0,0,1,0,5,0,0,5,0,5,0,0,3,5,5,0,1,0,2,2,1,0,1,5,0,1,1,0,0,0
3,1,3,5,3,1,1,0,1,2,0,1,3,0,1,1,1,0,2,0,0,0,3,3,0,1,0,3,0,3,0,1,0,1,3,1,3,3,3,0,1,1,1,2,3,1,1,3,1,3,1,2,5,3,3,0,1,2,0,3,1,1,1,3,1,1,1,0,0,0
7,7,1,4,2,7,7,0,3,1,0,0,1,0,0,1,1,0,1,0,0,0,7,7,0,7,0,1,1,7,0,7,0,3,7,7,1,7,7,0,7,7,3,1,7,7,0,7,7,7,7,1,4,7,7,0,3,1,0,1,1,7,1,7,7,1,1,0,0,0
2,4,1,0,13,4,4,0,1,2,0,0,1,0,0,1,1,0,1,0,0,0,2,2,0,4,0,1,0,2,0,4,0,1,2,4,1,2,2,0,4,4,1,2,2,4,0,2,4,2,4,2,0,2,2,0,1,2,0,1,1,4,1,2,4,1,1,0,0,0
5,5,5,7,1,5,5,0,4,6,0,1,5,0,4,3,3,0,3,0,0,0,5,5,0,5,0,5,1,5,0,5,0,4,5,5,5,5,5,0,5,5,4,6,5,5,4,5,5,5,5,6,7,5,5,0,4,6,0,5,3,5,3,5,5,3,3,0,0,0
3,5,4,2,2,5,5,0,4,3,3,3,4,0,3,2,2,0,2,0,0,0,3,3,0,5,0,4,1,3,0,5,0,4,3,5,4,3,3,0,5,5,4,3,3,5,3,3,5,3,5,3,2,3,3,0,4,3,3,4,2,5,2,3,5,2,2,0,0,0
3,1,0,1,4,1,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,3,3,0,1,0,0,1,3,0,1,0,2,3,1,0,3,3,0,1,1,2,1,3,1,1,3,1,3,1,1,1,3,3,0,2,1,0,0,0,1,0,3,1,0,0,0,0,0
6,2,0,2,2,2,2,0,2,2,6,0,0,0,2,1,1,0,1,0,0,0,6,6,0,2,0,0,0,6,0,2,0,2,6,2,0,6,6,0,2,2,2,2,6,2,2,6,2,6,2,2,2,6,6,0,2,2,6,0,1,2,1,6,2,1,1,0,0,0
6,2,2,3,1,2,2,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,6,6,0,2,0,2,0,6,0,2,0,1,6,2,2,6,6,0,2,2,1,2,6,2,0,6,2,6,2,2,3,6,6,0,1,2,0,2,0,2,0,6,2,0,0,0,0,0
9,1,7,2,0,1,1,0,0,4,8,5,7,0,4,3,2,0,2,0,0,0,9,9,0,1,0,7,2,9,0,1,0,0,9,1,7,9,9,0,1,1,0,4,9,1,4,9,1,9,1,4,2,9,9,0,0,4,8,7,3,1,3,9,1,3,2,0,0,0
7,5,4,1,2,5,5,0,2,2,1,3,4,0,1,1,1,0,1,0,0,0,7,7,0,5,0,4,2,7,0,5,0,2,7,5,4,7,7,0,5,5,2,2,7,5,1,7,5,7,5,2,1,7,7,0,2,2,1,4,1,5,1,7,5,1,1,0,0,0
4,4,3,2,3,4,4,0,2,3,3,0,3,0,3,2,2,0,2,0,0,0,4,4,0,4,0,3,1,4,0,4,0,2,4,4,3,4,4,0,4,4,2,3,4,4,3,4,4,4,4,3,2,4,4,0,2,3,3,3,2,4,2,4,4,2,2,0,0,0
5,3,0,0,2,3,3,0,3,2,0,0,0,0,2,3,3,0,4,0,0,0,5,5,0,3,0,0,0,5,0,3,0,3,5,3,0,5,5,0,3,3,3,2,5,3,2,5,3,5,3,2,0,5,5,0,3,2,0,0,3,3,3,5,3,3,3,0,0,0
6,4,1,1,3,4,4,0,2,2,0,2,1,0,2,0,0,0,0,0,0,0,6,6,0,4,0,1,1,6,0,4,0,2,6,4,1,6,6,0,4,4,2,2,6,4,2,6,4,6,4,2,1,6,6,0,2,2,0,1,0,4,0,6,4,0,0,0,0,0
0,4,1,0,1,4,4,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,4,0,1,0,4,1,0,0,0,4,4,1,1,0,4,0,0,4,0,4,1,0,0,0,0,1,1,5,1,0,4,0,0,4,0,0,0,0,0
9,8,7,4,3,8,8,0,4,2,0,0,7,0,1,3,3,0,3,0,0,0,9,9,0,8,0,7,1,9,0,8,0,4,9,8,7,9,9,0,8,8,4,2,9,8,1,9,8,9,8,2,4,9,9,0,4,2,0,7,3,8,3,9,8,3,3,0,0,0
1,0,0,0,6,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,2,1,0,1,1,0,1,0,2,0,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
4,6,2,7,1,6,6,0,2,5,0,4,2,0,4,1,1,0,2,0,0,0,4,4,0,6,0,2,0,4,0,6,0,2,4,6,2,4,4,0,6,6,2,5,4,6,4,4,6,4,6,5,7,4,4,0,2,5,0,2,1,6,1,4,6,1,1,0,0,0
2,2,0,1,9,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,2,0,0,0,2,0,2,0,0,2,2,0,2,2,0,2,2,0,0,2,2,0,2,2,2,2,0,1,2,2,0,0,0,0,0,1,2,1,2,2,1,1,0,0,0
2,1,3,1,1,1,1,0,2,1,4,2,3,0,1,0,0,0,0,0,0,0,2,2,0,1,0,3,1,2,0,1,0,2,2,1,3,2,2,0,1,1,2,1,2,1,1,2,1,2,1,1,1,2,2,0,2,1,4,3,0,1,0,2,1,0,0,0,0,0
7,5,2,4,3,5,5,0,1,7,4,2,2,0,4,3,3,0,3,0,0,0,7,7,0,5,0,2,0,7,0,5,0,1,7,5,2,7,7,0,5,5,1,7,7,5,4,7,5,7,5,7,4,7,7,0,1,7,4,2,3,5,3,7,5,3,3,0,0,0
10,4,1,6,2,4,4,0,4,4,2,1,1,0,3,4,4,0,4,0,0,0,10,10,0,4,0,1,2,10,0,4,0,4,10,4,1,10,10,0,4,4,4,4,10,4,3,10,4,10,4,4,6,10,10,0,4,4,2,1,4,4,4,10,4,4,4,0,0,0
5,4,0,0,5,4,4,0,1,1,0,1,0,0,1,2,2,0,2,0,0,0,5,5,0,4,0,0,0,5,0,4,0,1,5,4,0,5,5,0,4,4,1,1,5,4,1,5,4,5,4,1,0,5,5,0,1,1,0,0,2,4,2,5,4,2,2,0,0,0
9,9,2,5,3,9,9,0,6,0,0,2,2,0,0,2,2,0,2,0,0,0,9,9,0,9,0,2,1,9,0,9,0,6,9,9,2,9,9,0,9,9,6,0,9,9,0,9,9,9,9,0,5,9,9,0,6,0,0,2,2,9,2,9,9,2,2,0,0,0
5,4,1,2,4,4,4,0,4,4,0,1,1,0,1,0,0,0,1,0,0,0,5,5,0,4,0,1,1,5,0,4,0,4,5,4,1,5,5,0,4,4,4,4,5,4,1,5,4,5,4,4,2,5,5,0,4,4,0,1,0,4,0,5,4,0,0,0,0,0
6,6,1,5,0,6,6,0,1,4,0,1,1,0,1,2,2,0,2,0,0,0,6,6,0,6,0,1,2,6,0,6,0,1,6,6,1,6,6,0,6,6,1,4,6,6,1,6,6,6,6,4,5,6,6,0,1,4,0,1,2,6,2,6,6,2,2,0,0,0
5,2,0,3,16,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,5,0,2,0,1,5,2,0,5,5,0,2,2,1,0,5,2,0,5,2,5,2,0,3,5,5,0,1,0,0,0,0,2,0,5,2,0,0,0,0,0
7,3,2,3,8,3,3,0,1,1,0,0,2,0,2,2,2,0,2,0,0,0,7,7,0,3,0,2,0,7,0,3,0,1,7,3,2,7,7,0,3,3,1,1,7,3,2,7,3,7,3,1,3,7,7,0,1,1,0,2,2,3,2,7,3,2,2,0,0,0
10,5,2,0,4,5,5,0,3,9,9,2,2,0,7,0,0,0,2,0,0,0,10,10,0,5,0,2,1,10,0,5,0,3,10,5,2,10,10,0,5,5,3,9,10,5,7,10,5,10,5,9,0,10,10,0,3,9,9,2,0,5,0,10,5,0,0,0,0,0
11,1,3,8,3,1,1,0,1,1,3,2,3,0,0,2,2,0,2,0,0,0,11,11,0,1,0,3,1,11,0,1,0,1,11,1,3,11,11,0,1,1,1,1,11,1,0,11,1,11,1,1,8,11,11,0,1,1,3,3,2,1,2,11,1,2,2,0,0,0
3,7,1,1,9,7,7,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,3,3,0,7,0,1,0,3,0,7,0,0,3,7,1,3,3,0,7,7,0,0,3,7,1,3,7,3,7,0,1,3,3,0,0,0,0,1,1,7,1,3,7,1,1,0,0,0
5,4,1,2,1,4,4,0,0,3,0,1,1,0,1,1,1,0,1,0,0,0,5,5,0,4,0,1,1,5,0,4,0,0,5,4,1,5,5,0,4,4,0,3,5,4,1,5,4,5,4,3,2,5,5,0,0,3,0,1,1,4,1,5,4,1,1,0,0,0
6,3,0,1,0,3,3,0,0,3,1,0,0,0,1,0,1,0,0,0,0,0,6,6,0,3,0,0,1,6,0,3,0,0,6,3,0,6,6,0,3,3,0,3,6,3,1,6,3,6,3,3,1,6,6,0,0,3,1,0,0,3,0,6,3,0,1,0,0,0
5,7,3,1,0,7,7,0,3,1,1,3,3,0,2,0,0,0,0,0,0,0,5,5,0,7,0,3,2,5,0,7,0,3,5,7,3,5,5,0,7,7,3,1,5,7,2,5,7,5,7,1,1,5,5,0,3,1,1,3,0,7,0,5,7,0,0,0,0,0
2,3,3,2,0,3,3,0,2,1,1,2,3,0,1,0,0,0,2,0,0,0,2,2,0,3,0,3,1,2,0,3,0,2,2,3,3,2,2,0,3,3,2,1,2,3,1,2,3,2,3,1,2,2,2,0,2,1,1,3,0,3,0,2,3,0,0,0,0,0
3,1,10,0,4,1,1,0,0,1,3,0,10,0,0,0,0,0,0,0,0,0,3,3,0,1,0,10,2,3,0,1,0,0,3,1,10,3,3,0,1,1,0,1,3,1,0,3,1,3,1,1,0,3,3,0,0,1,3,10,0,1,0,3,1,0,0,0,0,0
7,3,2,1,7,3,3,0,3,3,0,1,2,0,0,0,0,0,0,0,0,0,7,7,0,3,0,2,0,7,0,3,0,3,7,3,2,7,7,0,3,3,3,3,7,3,0,7,3,7,3,3,1,7,7,0,3,3,0,2,0,3,0,7,3,0,0,0,0,0
2,3,4,1,0,3,3,0,5,1,4,4,4,0,0,0,0,0,0,0,0,0,2,2,0,3,0,4,4,2,0,3,0,5,2,3,4,2,2,0,3,3,5,1,2,3,0,2,3,2,3,1,1,2,2,0,5,1,4,4,0,3,0,2,3,0,0,0,0,0
1,4,2,1,0,4,4,0,4,1,1,1,2,0,1,0,0,0,1,0,0,0,1,1,0,4,0,2,0,1,0,4,0,4,1,4,2,1,1,0,4,4,4,1,1,4,1,1,4,1,4,1,1,1,1,0,4,1,1,2,0,4,0,1,4,0,0,0,0,0
5,4,1,3,2,4,4,0,5,4,3,0,1,0,4,3,3,0,3,0,0,0,5,5,0,4,0,1,4,5,0,4,0,5,5,4,1,5,5,0,4,4,5,4,5,4,4,5,4,5,4,4,3,5,5,0,5,4,3,1,3,4,3,5,4,3,3,0,0,0
5,2,4,3,0,2,2,0,0,5,0,1,4,0,5,2,2,0,2,0,0,0,5,5,0,2,0,4,0,5,0,2,0,0,5,2,4,5,5,0,2,2,0,5,5,2,5,5,2,5,2,5,3,5,5,0,0,5,0,4,2,2,2,5,2,2,2,0,0,0
7,3,2,1,0,3,3,0,4,4,5,2,2,0,3,2,2,0,2,0,0,0,7,7,0,3,0,2,2,7,0,3,0,4,7,3,2,7,7,0,3,3,4,4,7,3,3,7,3,7,3,4,1,7,7,0,4,4,5,2,2,3,2,7,3,2,2,0,0,0
4,3,1,2,3,3,3,0,1,2,3,0,1,0,1,2,2,0,2,0,0,0,4,4,0,3,0,1,0,4,0,3,0,1,4,3,1,4,4,0,3,3,1,2,4,3,1,4,3,4,3,2,2,4,4,0,1,2,3,1,2,3,2,4,3,2,2,0,0,0
6,3,4,6,5,3,3,0,2,1,0,3,4,0,1,0,0,0,0,0,0,0,6,6,0,3,0,4,0,6,0,3,0,2,6,3,4,6,6,0,3,3,2,1,6,3,1,6,3,6,3,1,6,6,6,0,2,1,0,4,0,3,0,6,3,0,0,0,0,0
4,5,2,1,0,5,5,0,1,2,3,1,2,0,4,2,2,0,2,0,0,0,4,4,0,5,0,2,0,4,0,5,0,1,4,5,2,4,4,0,5,5,1,2,4,5,4,4,5,4,5,2,1,4,4,0,1,2,3,2,2,5,2,4,5,2,2,0,0,0
3,1,1,0,4,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,1,0,1,0,3,0,1,0,1,3,1,1,3,3,0,1,1,1,1,3,1,0,3,1,3,1,1,0,3,3,0,1,1,0,1,0,1,0,3,1,0,0,0,0,0
9,6,3,3,0,6,6,0,4,3,1,1,3,0,2,1,1,0,1,0,0,0,9,9,0,6,0,3,1,9,0,6,0,4,9,6,3,9,9,0,6,6,4,3,9,6,2,9,6,9,6,3,3,9,9,0,4,3,1,3,1,6,1,9,6,1,1,0,0,0
7,5,3,4,1,5,5,0,0,3,0,0,3,0,2,3,3,0,3,0,0,0,7,7,0,5,0,3,4,7,0,5,0,0,7,5,3,7,7,0,5,5,0,3,7,5,2,7,5,7,5,3,4,7,7,0,0,3,0,3,3,5,3,7,5,3,3,0,0,0
4,8,1,2,1,8,8,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,0,8,0,1,2,4,0,8,0,4,4,8,1,4,4,0,8,8,4,0,4,8,0,4,8,4,8,0,2,4,4,0,4,0,0,1,0,8,0,4,8,0,0,0,0,0
3,7,2,0,2,7,7,0,4,2,0,0,2,0,1,0,0,0,0,0,0,0,3,3,0,7,0,2,4,3,0,7,0,4,3,7,2,3,3,0,7,7,4,2,3,7,1,3,7,3,7,2,0,3,3,0,4,2,0,2,0,7,0,3,7,0,0,0,0,0
4,3,1,2,13,3,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,0,3,0,1,0,4,0,3,0,3,4,3,1,4,4,0,3,3,3,0,4,3,0,4,3,4,3,0,2,4,4,0,3,0,0,1,0,3,0,4,3,0,0,0,0,0
4,6,2,1,0,6,6,0,5,1,2,1,2,0,1,2,2,0,2,0,0,0,4,4,0,6,0,2,1,4,0,6,0,5,4,6,2,4,4,0,6,6,5,1,4,6,1,4,6,4,6,1,1,4,4,0,5,1,2,2,2,6,2,4,6,2,2,0,0,0
2,4,3,2,1,4,4,0,2,2,1,3,3,0,3,0,0,0,0,0,0,0,2,2,0,4,0,3,0,2,0,4,0,2,2,4,3,2,2,0,4,4,2,2,2,4,3,2,4,2,4,2,2,2,2,0,2,2,1,3,0,4,0,2,4,0,0,0,0,0
4,1,0,0,0,1,1,0,2,1,0,0,0,0,1,1,1,0,1,0,0,0,4,4,0,1,0,0,0,4,0,1,0,2,4,1,0,4,4,0,1,1,2,1,4,1,1,4,1,4,1,1,0,4,4,0,2,1,0,0,1,1,1,4,1,1,1,0,0,0
3,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,3,0,1,0,0,2,3,0,1,0,0,3,1,0,3,3,0,1,1,0,0,3,1,0,3,1,3,1,0,1,3,3,0,0,0,0,0,1,1,1,3,1,1,1,0,0,0
8,2,2,0,17,2,2,0,1,2,1,3,2,0,0,0,0,0,0,0,0,0,8,8,0,2,0,2,0,8,0,2,0,1,8,2,2,8,8,0,2,2,1,2,8,2,0,8,2,8,2,2,0,8,8,0,1,2,1,2,0,2,0,8,2,0,0,0,0,0
6,4,2,2,2,4,4,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,6,6,0,4,0,2,2,6,0,4,0,4,6,4,2,6,6,0,4,4,4,0,6,4,0,6,4,6,4,0,2,6,6,0,4,0,0,2,1,4,1,6,4,1,0,0,0,0
6,2,0,0,4,2,2,0,4,2,0,0,0,0,2,6,6,0,6,0,0,0,6,6,0,2,0,0,0,6,0,2,0,4,6,2,0,6,6,0,2,2,4,2,6,2,2,6,2,6,2,2,0,6,6,0,4,2,0,0,6,2,6,6,2,6,6,0,0,0
5,3,0,4,1,3,3,0,5,0,2,1,0,0,0,0,0,0,1,0,0,0,5,5,0,3,0,0,0,5,0,3,0,5,5,3,0,5,5,0,3,3,5,0,5,3,0,5,3,5,3,0,4,5,5,0,5,0,2,0,0,3,0,5,3,0,0,0,0,0
2,2,2,1,3,2,2,0,1,1,1,1,2,0,2,0,0,0,0,0,0,0,2,2,0,2,0,2,1,2,0,2,0,1,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,0,1,1,1,2,0,2,0,2,2,0,0,0,0,0
5,9,0,4,10,9,9,0,0,0,0,4,0,0,0,2,2,0,2,0,0,0,5,5,0,9,0,0,1,5,0,9,0,0,5,9,0,5,5,0,9,9,0,0,5,9,0,5,9,5,9,0,4,5,5,0,0,0,0,0,2,9,2,5,9,2,2,0,0,0
5,5,3,4,6,5,5,0,3,2,1,3,3,0,2,3,2,0,2,0,0,0,5,5,0,5,0,3,0,5,0,5,0,3,5,5,3,5,5,0,5,5,3,2,5,5,2,5,5,5,5,2,4,5,5,0,3,2,1,3,3,5,3,5,5,3,2,0,0,0
5,7,2,0,0,7,7,0,5,4,1,0,2,0,3,2,2,0,2,0,0,0,5,5,0,7,0,2,1,5,0,7,0,5,5,7,2,5,5,0,7,7,5,4,5,7,3,5,7,5,7,4,0,5,5,0,5,4,1,2,2,7,2,5,7,2,2,0,0,0
7,3,1,0,10,3,3,0,0,5,0,0,1,0,6,6,6,0,6,0,0,0,7,7,0,3,0,1,0,7,0,3,0,0,7,3,1,7,7,0,3,3,0,5,7,3,6,7,3,7,3,5,0,7,7,0,0,5,0,1,6,3,6,7,3,6,6,0,0,0
6,6,1,2,4,6,6,0,5,0,2,2,1,0,0,2,1,0,1,0,0,0,6,6,0,6,0,1,4,6,0,6,0,5,6,6,1,6,6,0,6,6,5,0,6,6,0,6,6,6,6,0,2,6,6,0,5,0,2,1,2,6,2,6,6,2,1,0,0,0
4,3,6,2,0,3,3,0,4,3,4,1,6,0,2,2,2,0,2,0,0,0,4,4,0,3,0,6,2,4,0,3,0,4,4,3,6,4,4,0,3,3,4,3,4,3,2,4,3,4,3,3,2,4,4,0,4,3,4,6,2,3,2,4,3,2,2,0,0,0
3,4,1,3,4,4,4,0,2,2,1,1,1,0,2,2,2,0,2,0,0,0,3,3,0,4,0,1,1,3,0,4,0,2,3,4,1,3,3,0,4,4,2,2,3,4,2,3,4,3,4,2,3,3,3,0,2,2,1,1,2,4,2,3,4,2,2,0,0,0
5,5,5,2,0,5,5,0,1,4,5,4,5,0,4,1,1,0,1,0,0,0,5,5,0,5,0,5,4,5,0,5,0,1,5,5,5,5,5,0,5,5,1,4,5,5,4,5,5,5,5,4,2,5,5,0,1,4,5,5,1,5,1,5,5,1,1,0,0,0
3,4,2,3,2,4,4,0,2,1,0,1,2,0,0,1,1,0,1,0,0,0,3,3,0,4,0,2,1,3,0,4,0,2,3,4,2,3,3,0,4,4,2,1,3,4,0,3,4,3,4,1,3,3,3,0,2,1,0,2,1,4,1,3,4,1,1,0,0,0
5,4,2,4,0,4,4,0,1,1,1,2,2,0,1,0,0,0,0,0,0,0,5,5,0,4,0,2,0,5,0,4,0,1,5,4,2,5,5,0,4,4,1,1,5,4,1,5,4,5,4,1,4,5,5,0,1,1,1,2,0,4,0,5,4,0,0,0,0,0
7,5,5,4,4,5,5,0,5,1,1,4,5,0,0,1,1,0,2,0,0,0,7,7,0,5,0,5,1,7,0,5,0,5,7,5,5,7,7,0,5,5,5,1,7,5,0,7,5,7,5,1,4,7,7,0,5,1,1,5,1,5,1,7,5,1,1,0,0,0
5,1,2,1,0,1,1,0,1,4,8,3,2,0,4,1,1,0,1,0,0,0,5,5,0,1,0,2,2,5,0,1,0,1,5,1,2,5,5,0,1,1,1,4,5,1,4,5,1,5,1,4,1,5,5,0,1,4,8,2,1,1,1,5,1,1,1,0,0,0
2,4,0,0,0,4,4,0,3,1,0,0,0,0,1,1,1,0,1,0,0,0,2,2,0,4,0,0,0,2,0,4,0,3,2,4,0,2,2,0,4,4,3,1,2,4,1,2,4,2,4,1,0,2,2,0,3,1,0,0,1,4,1,2,4,1,1,0,0,0
1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,5,2,1,6,5,5,0,3,2,5,1,2,0,2,1,1,0,1,0,0,0,6,6,0,5,0,2,1,6,0,5,0,3,6,5,2,6,6,0,5,5,3,2,6,5,2,6,5,6,5,2,1,6,6,0,3,2,5,2,1,5,1,6,5,1,1,0,0,0
5,6,3,2,3,6,6,0,2,3,4,1,3,0,1,1,1,0,1,0,0,0,5,5,0,6,0,3,5,5,0,6,0,2,5,6,3,5,5,0,6,6,2,3,5,6,1,5,6,5,6,3,2,5,5,0,2,3,4,3,1,6,1,5,6,1,1,0,0,0
5,0,7,10,0,0,0,0,0,4,6,5,7,0,6,4,4,0,5,0,0,0,5,5,0,0,0,7,1,5,0,0,0,0,5,0,7,5,5,0,0,0,0,4,5,0,6,5,0,5,0,4,10,5,5,0,0,4,6,7,4,0,4,5,0,4,4,0,0,0
4,3,1,3,12,3,3,0,0,0,0,1,1,0,0,2,1,0,2,0,0,0,4,4,0,3,0,1,0,4,0,3,0,0,4,3,1,4,4,0,3,3,0,0,4,3,0,4,3,4,3,0,3,4,4,0,0,0,0,1,2,3,2,4,3,2,1,0,0,0
6,9,6,4,4,9,9,0,3,1,1,4,6,0,0,0,0,0,0,0,0,0,6,6,0,9,0,6,4,6,0,9,0,3,6,9,6,6,6,0,9,9,3,1,6,9,0,6,9,6,9,1,4,6,6,0,3,1,1,6,0,9,0,6,9,0,0,0,0,0
2,2,2,1,2,2,2,0,2,2,1,2,2,0,1,1,1,0,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,0,2,2,1,2,1,2,1,2,2,1,1,0,0,0
4,2,3,1,0,2,2,0,0,5,7,0,3,0,3,1,1,0,1,0,0,0,4,4,0,2,0,3,1,4,0,2,0,0,4,2,3,4,4,0,2,2,0,5,4,2,3,4,2,4,2,5,1,4,4,0,0,5,7,3,1,2,1,4,2,1,1,0,0,0
8,10,7,0,1,10,10,0,5,8,1,6,7,0,11,4,4,0,4,0,0,0,8,8,0,10,0,7,6,8,0,10,0,5,8,10,7,8,8,0,10,10,5,8,8,10,11,8,10,8,10,8,0,8,8,0,5,8,1,7,4,10,4,8,10,4,4,0,0,0
3,2,2,1,3,2,2,0,2,0,2,1,2,0,0,1,1,0,1,0,0,0,3,3,0,2,0,2,0,3,0,2,0,2,3,2,2,3,3,0,2,2,2,0,3,2,0,3,2,3,2,0,1,3,3,0,2,0,2,2,1,2,1,3,2,1,1,0,0,0
4,3,2,2,1,3,3,0,0,5,0,0,2,0,3,3,3,0,3,0,0,0,4,4,0,3,0,2,0,4,0,3,0,0,4,3,2,4,4,0,3,3,0,5,4,3,3,4,3,4,3,5,2,4,4,0,0,5,0,2,3,3,3,4,3,3,3,0,0,0
4,3,2,1,4,3,3,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,4,4,0,3,0,2,1,4,0,3,0,1,4,3,2,4,4,0,3,3,1,0,4,3,0,4,3,4,3,0,1,4,4,0,1,0,1,2,0,3,0,4,3,0,0,0,0,0
2,5,3,0,0,5,5,0,5,1,6,4,3,0,1,0,0,0,0,0,0,0,2,2,0,5,0,3,3,2,0,5,0,5,2,5,3,2,2,0,5,5,5,1,2,5,1,2,5,2,5,1,0,2,2,0,5,1,6,3,0,5,0,2,5,0,0,0,0,0
4,9,0,2,6,9,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,2,4,0,9,0,10,4,9,0,4,4,0,9,9,10,0,4,9,0,4,9,4,9,0,2,4,4,0,10,0,0,0,0,9,0,4,9,0,0,0,0,0
2,8,3,1,1,8,8,0,3,4,3,4,3,0,2,1,0,0,1,0,0,0,2,2,0,8,0,3,3,2,0,8,0,3,2,8,3,2,2,0,8,8,3,4,2,8,2,2,8,2,8,4,1,2,2,0,3,4,3,3,1,8,1,2,8,1,0,0,0,0
5,4,1,1,2,4,4,0,4,3,1,0,1,0,2,2,2,0,2,0,0,0,5,5,0,4,0,1,1,5,0,4,0,4,5,4,1,5,5,0,4,4,4,3,5,4,2,5,4,5,4,3,1,5,5,0,4,3,1,1,2,4,2,5,4,2,2,0,0,0
6,3,1,4,1,3,3,0,5,1,1,1,1,0,0,1,0,0,0,0,0,0,6,6,0,3,0,1,2,6,0,3,0,5,6,3,1,6,6,0,3,3,5,1,6,3,0,6,3,6,3,1,4,6,6,0,5,1,1,1,1,3,1,6,3,1,0,0,0,0
6,5,1,2,1,5,5,0,3,6,7,0,1,0,5,4,4,0,5,0,0,0,6,6,0,5,0,1,2,6,0,5,0,3,6,5,1,6,6,0,5,5,3,6,6,5,5,6,5,6,5,6,2,6,6,0,3,6,7,1,4,5,4,6,5,4,4,0,0,0
